id,producto_base,foto_principal,fotos_adicionales,image_link,additional_image_link,title,description,price,link,brand,availability,condition
001,1,1.1.jpg,"1.2.jpg, 1.3.jpg",https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/1.1.jpg,"https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/1.2.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/1.3.jpg",,,,,Forza WorkGear,in stock,new
002,4,4.jpg,4.1.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/4.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/4.1.jpg,,,,,Forza WorkGear,in stock,new
003,5,5.jpg,,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/5.jpg,,,,,,Forza WorkGear,in stock,new
004,6,6.jpg,,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/6.jpg,,,,,,Forza WorkGear,in stock,new
005,9,9.jpg,9.1.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/9.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/9.1.jpg,,,,,Forza WorkGear,in stock,new
006,12,12.jpg,12.1.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/12.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/12.1.jpg,,,,,Forza WorkGear,in stock,new
007,13,13.jpg,"13.1.jpg, 13.2.jpg, 13.3.jpg, 13.4.jpg",https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/13.jpg,"https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/13.1.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/13.2.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/13.3.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/13.4.jpg",,,,,Forza WorkGear,in stock,new
008,14,14.jpg,"14.1.jpg, 14.2.jpg, 14.3.jpg",https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.jpg,"https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.1.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.2.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/14.3.jpg",,,,,Forza WorkGear,in stock,new
009,15,15.jpg,15.1.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/15.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/15.1.jpg,,,,,Forza WorkGear,in stock,new
010,19,19.1.jpg,"19.2.jpg, 19.3.jpg, 19.4.jpg",https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/19.1.jpg,"https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/19.2.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/19.3.jpg,https://raw.githubusercontent.com/partnerpathai-TX/catalogo-productos-forza-workgear/main/productos/19.4.jpg",,,,,Forza WorkGear,in stock,new
